code,name,est_level,price,est_price,est_price1,est_price2,disparity2,rep_roe, < 동종업계per,disparity,disparity1,시가총액,거래량,지배주주자본,최대주주지분율,ROE,PER,매출액,영업이익,EPS(원),자기주식수,배당수익률
A003070,코오롱글로벌,3,19750.0,24992,21119,20016,-1.35,10.74,True,-26.54,-6.93,4979.0,288730.0,"[4654.0, 4426.0, 4660.0, 5470.0]",76.59,"[3.38, 3.59, 10.74, 18.15]","[14.84, 11.15, 5.07, 5.48]",34841.0,1256.0,1911.0,84095.0,3.61
A016590,신대양제지,3,59400.0,234788,159385,137900,-132.15,17.12,True,-295.27,-168.33,2394.0,94919.0,"[2753.0, 3644.0, 4184.0, nan]",53.49,"[10.37, 24.79, 14.26, nan]","[4.96, 3.01, 4.3, nan]",6468.0,947.0,13849.0,201500.0,1.05
A192400,쿠쿠홀딩스,3,96300.0,168361,132327,122059,-26.75,12.38,False,-74.83,-37.41,6849.0,6758.0,"[3578.0, 6095.0, 6737.0, nan]",69.07,"[96.96, 17.49, 12.38, nan]","[2.69, 9.04, 9.4, nan]",5283.0,745.0,11168.0,896760.0,2.86
A161000,애경유화,3,9530.0,12445,11881,11721,-22.99,8.62,True,-30.59,-24.67,3053.0,203854.0,"[3042.0, 3450.0, 3632.0, nan]",49.47,"[23.22, 16.36, 8.62, 12.47]","[8.64, 4.77, 8.61, 6.74]",10170.0,469.0,952.0,475850.0,4.27
A111770,영원무역,3,30200.0,47931,44383,43372,-43.62,9.09,True,-58.71,-46.96,13382.0,105414.0,"[12295.0, 15446.0, 18435.0, 19987.0]",50.74,"[8.78, 8.15, 9.82, 9.35]","[12.84, 15.03, 9.13, 7.45]",23883.0,2376.0,3753.0,445407.0,1.17
A009970,영원무역홀딩스,3,37650.0,142800,128232,124081,-229.56,9.6,True,-279.28,-240.59,5134.0,15402.0,"[8878.0, 11452.0, 13758.0, nan]",46.24,"[8.2, 8.49, 9.6, nan]","[10.57, 9.88, 5.43, nan]",27380.0,2990.0,8870.0,2030694.0,2.07
A264900,크라운제과,3,8790.0,20788,15398,13862,-57.71,14.02,True,-136.5,-75.18,1101.0,8445.0,"[1208.0, 1282.0, 1420.0, nan]",61.68,"[nan, 10.99, 14.02, nan]","[13.54, 9.04, 6.1, nan]",3866.0,265.0,1424.0,507681.0,2.88
A040160,누리텔레콤,2,7850.0,10603,7864,7084,9.76,13.98,True,-35.07,-0.18,946.0,68297.0,"[492.0, 609.0, 683.0, nan]",40.68,"[-11.22, 21.34, 13.73, 6.73]","[nan, 5.77, 7.46, 20.57]",1479.0,116.0,736.0,757550.0,0.91
A097950,CJ제일제당,2,366500.0,439681,375045,356627,2.69,10.55,False,-19.97,-2.33,55174.0,51723.0,"[33749.0, 47828.0, 48809.0, 57050.0]",45.51,"[10.91, 21.46, 3.16, 15.16]","[14.33, 6.1, 27.12, 7.48]",223525.0,8969.0,9312.0,357302.0,1.39
A091440,텔레필드,2,3370.0,3926,3449,3313,1.69,9.99,True,-16.51,-2.34,309.0,51954.0,"[250.0, 223.0, 270.0, nan]",19.82,"[2.11, -52.2, 19.28, nan]","[39.43, nan, 6.53, nan]",565.0,57.0,522.0,554681.0,
A170900,동아에스티,2,85900.0,111213,90382,84446,1.69,11.58,True,-29.47,-5.22,7253.0,22105.0,"[5812.0, 5794.0, 6459.0, 6810.0]",38.98,"[-0.92, 1.38, 11.58, 6.78]","[nan, 110.18, 14.17, 16.12]",6123.0,566.0,8398.0,5478.0,0.84
A091700,파트론,2,10150.0,16231,10633,9038,10.96,18.71,True,-59.91,-4.76,5497.0,767202.0,"[3042.0, 2981.0, 3537.0, 3644.0]",26.45,"[0.26, 3.09, 18.71, 7.69]","[618.26, 47.68, 11.72, 19.92]",12546.0,1052.0,1126.0,3000000.0,2.65
A110790,크리스에프앤씨,2,22400.0,29560,23826,22192,0.93,11.77,True,-31.97,-6.37,2624.0,4362.0,"[1218.0, 2049.0, 2170.0, 2487.0]",40.12,"[32.15, 20.69, 11.77, 15.59]","[nan, 7.78, 8.94, 7.23]",2595.0,377.0,2119.0,874441.0,2.11
A019590,엠벤처투자,2,1110.0,1874,1118,903,18.68,24.26,True,-68.85,-0.73,671.0,488262.0,"[221.0, 284.0, 377.0, nan]",16.33,"[-25.01, 8.48, 24.26, nan]","[nan, 39.18, 10.46, nan]",152.0,94.0,133.0,3012.0,
A097520,엠씨넥스,2,36850.0,76247,38088,27215,26.15,47.71,True,-106.91,-3.36,6583.0,281439.0,"[980.0, 1297.0, 2246.0, 2711.0]",27.99,"[-1.1, 26.19, 47.71, 21.76]","[nan, 7.48, 7.98, 12.21]",12677.0,1131.0,4731.0,230000.0,1.32
A023450,동남합성,2,39000.0,68297,39730,31590,19.0,26.23,True,-75.12,-1.87,1408.0,3540.0,"[512.0, 615.0, 745.0, nan]",55.01,"[2.75, 10.39, 26.23, nan]","[53.38, 13.63, 5.05, nan]",1261.0,98.0,4925.0,20000.0,0.8
A000660,SK하이닉스,2,98800.0,185521,116155,96389,2.44,21.1,False,-87.77,-17.57,719266.0,1976047.0,"[338153.0, 468457.0, 479284.0, 509316.0]",20.07,"[36.8, 38.53, 4.25, 7.41]","[5.23, 2.83, 34.03, 19.64]",269907.0,27127.0,2766.0,44000570.0,1.06
A010050,우리종금,2,561.0,824,581,512,8.69,15.63,True,-46.89,-3.63,4904.0,1837590.0,"[2848.0, 3152.0, 3673.0, nan]",58.75,"[8.37, 11.12, 15.63, nan]","[12.77, 15.15, 8.01, nan]",2051.0,539.0,78.0,69076.0,
A010780,아이에스동서,2,44150.0,63513,47027,42330,4.12,14.03,True,-43.86,-6.52,13639.0,91480.0,"[10647.0, 10667.0, 10983.0, 11577.0]",54.69,"[19.87, 23.01, 6.1, 9.68]","[5.5, 3.86, 15.41, 12.49]",9641.0,662.0,2138.0,447941.0,2.12
A011780,금호석유,2,143000.0,209399,147076,129317,9.57,15.79,True,-46.43,-2.85,43569.0,258403.0,"[18427.0, 23473.0, 26286.0, 30690.0]",24.87,"[12.34, 23.45, 11.84, 17.9]","[15.6, 5.95, 8.81, 9.39]",49779.0,3678.0,8796.0,5592528.0,1.94
A057540,옴니시스템,2,2695.0,4012,2972,2676,0.7,14.01,True,-48.87,-10.29,1174.0,929000.0,"[723.0, 755.0, 946.0, nan]",19.93,"[9.07, 4.31, 22.13, 1.06]","[14.97, 22.53, 4.24, 117.43]",940.0,-20.0,463.0,2105261.0,
A204270,제이앤티씨,2,11250.0,22666,12125,9121,18.92,35.27,False,-101.48,-7.78,6508.0,165998.0,"[1795.0, 2049.0, 2923.0, 4420.0]",71.38,"[3.28, 14.63, 35.27, 23.61]","[nan, nan, nan, 7.38]",3862.0,955.0,1691.0,779845.0,
A104460,디와이피엔에프,2,16650.0,32416,17251,12930,22.34,36.0,True,-94.69,-3.61,1784.0,42830.0,"[535.0, 489.0, 686.0, nan]",49.34,"[-4.73, 20.26, 36.0, 38.78]","[nan, 5.08, 5.98, 6.71]",1656.0,283.0,1974.0,1154603.0,2.97
A264660,씨앤지하이테크,2,12250.0,19874,12929,10950,10.62,19.05,True,-62.23,-5.54,1030.0,99303.0,"[260.0, 565.0, 674.0, nan]",33.44,"[40.14, 24.08, 19.05, nan]","[nan, 4.87, 6.3, nan]",1288.0,145.0,1404.0,299270.0,1.7
A225190,삼양옵틱스,2,9450.0,18666,9797,7270,23.07,38.1,True,-97.52,-3.67,954.0,29816.0,"[357.0, 361.0, 393.0, nan]",68.13,"[51.21, 34.73, 35.97, nan]","[10.17, 10.35, 9.47, nan]",636.0,157.0,1347.0,28580.0,7.84
A002410,범양건영,2,5200.0,11609,6328,4823,7.25,32.82,True,-123.25,-21.69,1291.0,520238.0,"[432.0, 501.0, 700.0, nan]",33.22,"[2.57, 11.62, 32.82, nan]","[38.91, 7.04, 4.12, nan]",2761.0,115.0,794.0,2030.0,
A039490,키움증권,2,128000.0,193365,138949,123444,3.56,14.99,True,-51.07,-8.55,28386.0,125545.0,"[15246.0, 20415.0, 22340.0, 26909.0]",48.74,"[17.36, 10.84, 16.97, 22.61]","[8.06, 10.09, 5.56, 5.84]",8651.0,4737.0,14287.0,500000.0,2.52
A134380,미원화학,2,61400.0,78955,61743,56838,7.43,12.51,True,-28.59,-0.56,1350.0,1086.0,"[833.0, 898.0, 1021.0, nan]",54.91,"[15.82, 8.51, 14.07, nan]","[9.48, 12.81, 7.23, nan]",1547.0,155.0,6167.0,169768.0,2.24
A236200,슈프리마,2,28200.0,50665,31679,26269,6.85,21.18,True,-79.66,-12.34,2029.0,37688.0,"[972.0, 1086.0, 1364.0, nan]",30.38,"[9.8, 11.06, 21.18, nan]","[18.23, 16.17, 9.29, nan]",721.0,246.0,3643.0,38881.0,
A192440,슈피겐코리아,2,64000.0,88979,64862,57990,9.39,14.52,True,-39.03,-1.35,3978.0,39494.0,"[2214.0, 2613.0, 2945.0, 3561.0]",40.99,"[19.59, 17.7, 14.52, 21.1]","[6.94, 7.61, 7.86, 5.8]",3086.0,441.0,6489.0,186531.0,2.55
A131030,디에이치피코리아,2,7910.0,11402,8585,7783,1.61,13.54,True,-44.15,-8.54,1310.0,50192.0,"[866.0, 949.0, 1077.0, nan]",38.38,"[15.92, 11.03, 14.41, nan]","[10.19, 14.34, 8.77, nan]",604.0,152.0,881.0,523536.0,1.29
A053610,프로텍,2,30400.0,50002,32679,27743,8.74,18.82,True,-64.48,-7.5,3344.0,306872.0,"[1457.0, 1655.0, 2068.0, nan]",31.25,"[19.78, 16.67, 19.94, nan]","[7.29, 4.68, 4.6, nan]",1798.0,460.0,3502.0,1232000.0,2.48
A248170,샘표식품,2,46050.0,80105,52632,44804,2.71,18.57,True,-73.95,-14.29,2104.0,9692.0,"[1151.0, 1317.0, 1570.0, nan]",60.02,"[10.51, 14.58, 18.57, nan]","[13.86, 7.07, 5.79, nan]",2808.0,310.0,5870.0,1690.0,0.59
A339950,아이비김영,2,1600.0,3440,1608,1086,32.12,70.1,False,-114.98,-0.5,680.0,105518.0,"[26.0, 96.0, 159.0, nan]",67.97,"[53.56, 106.81, 51.13, nan]","[nan, nan, nan, nan]",547.0,73.0,157.0,1832829.0,
A033780,KT&G,2,84400.0,110277,85908,78964,6.44,12.61,True,-30.66,-1.79,115875.0,483329.0,"[77721.0, 80793.0, 86506.0, 90808.0]",12.44,"[15.71, 11.38, 12.39, 12.31]","[13.63, 15.46, 12.42, 10.62]",49632.0,13820.0,7549.0,13212574.0,4.69
A035600,KG이니시스,1,20000.0,25404,15770,13025,34.88,21.61,True,-27.02,21.15,5581.0,122782.0,"[1869.0, 2133.0, 2494.0, nan]",41.03,"[-0.21, 17.61, 21.61, nan]","[nan, 12.19, 9.49, nan]",9561.0,861.0,1792.0,1285946.0,1.94
A256150,한독크린텍,1,25100.0,26536,15877,12840,48.84,24.04,True,-5.72,36.74,1027.0,17340.0,"[120.0, 159.0, 312.0, nan]",41.11,"[23.47, 29.83, 20.38, nan]","[nan, nan, 11.47, nan]",484.0,61.0,1356.0,543850.0,1.29
A036890,진성티이씨,1,10300.0,14550,10012,8719,15.35,16.57,True,-41.26,2.8,2316.0,215876.0,"[1030.0, 1206.0, 1397.0, 1529.0]",36.15,"[9.9, 19.4, 16.91, 10.53]","[23.68, 7.77, 7.09, 15.04]",3556.0,299.0,979.0,2517977.0,2.88
A284740,쿠쿠홈시스,1,38800.0,39064,27212,23835,38.57,16.1,True,-0.68,29.87,8706.0,102378.0,"[3516.0, 3717.0, 4336.0, 5340.0]",75.44,"[nan, 9.51, 16.1, 18.4]","[nan, 23.15, 14.95, 9.78]",6637.0,1206.0,2890.0,14950.0,1.3
A013700,까뮤이앤씨,1,2140.0,2784,2073,1870,12.62,13.87,True,-30.1,3.15,966.0,2137006.0,"[591.0, 596.0, 709.0, nan]",37.01,"[15.31, 2.93, 20.68, nan]","[5.41, 34.54, 4.25, nan]",2834.0,148.0,299.0,840000.0,2.36
A281820,케이씨텍,1,24800.0,25351,18430,16458,33.64,14.61,True,-2.22,25.68,4920.0,235226.0,"[2050.0, 2570.0, 2885.0, nan]",49.9,"[nan, 23.54, 13.52, nan]","[37.84, 3.46, 12.57, nan]",2653.0,491.0,1858.0,4778.0,0.86
A007700,F&F,1,84800.0,110319,62978,49488,41.64,27.89,True,-30.09,25.73,13059.0,123830.0,"[2960.0, 3941.0, 4830.0, 5444.0]",58.82,"[28.66, 31.64, 25.13, 15.84]","[8.63, 5.65, 15.65, 16.05]",9103.0,1507.0,7156.0,79896.0,0.89
A024060,흥구석유,1,7320.0,7475,6165,5792,20.87,11.25,True,-2.11,15.77,1098.0,985720.0,"[698.0, 704.0, 770.0, nan]",34.22,"[2.97, 3.38, 11.25, nan]","[20.16, 17.12, 9.7, nan]",1507.0,5.0,553.0,459183.0,2.8
A137950,제이씨케미칼,1,7030.0,7390,5516,4982,29.13,13.79,True,-5.12,21.54,1565.0,655957.0,"[671.0, 714.0, 938.0, nan]",43.74,"[0.23, 6.16, 13.79, nan]","[509.98, 18.09, 11.7, nan]",2024.0,130.0,513.0,305361.0,1.0
A166090,하나머티리얼즈,1,24900.0,25663,14746,11634,53.28,27.3,True,-3.07,40.78,4887.0,133359.0,"[855.0, 1197.0, 1454.0, nan]",45.02,"[30.56, 35.33, 20.86, nan]","[16.86, 6.37, 13.45, nan]",1548.0,409.0,1409.0,220834.0,1.06
A036670,KCI,1,10250.0,14362,9368,7945,22.49,18.92,True,-40.12,8.6,1155.0,32763.0,"[490.0, 556.0, 651.0, nan]",50.02,"[8.29, 17.09, 18.92, nan]","[24.35, 9.81, 10.71, nan]",696.0,145.0,1013.0,509800.0,1.84
