code,name,naverlink,fnlink,est_level,price,pegr,cur_per,est_price,est_price1,est_price2,disparity,disparity1,disparity2,rep_roe,is_cheap_comp_per,eps_level,eps,eps_expect,eps_expect_this_year_ratio,eps_list,eps증가율,eps증가율기하평균,EPS최근증가율,EPS증가율_ORG,EPS증가율_AVG,market_cap,trading_cnt,지배주주자본,최대주주지분율,ROE,PER,매출액,영업이익,자기주식수,배당수익률,True
A383220,F&F,"=HYPERLINK(""https://stock.naver.com/domestic/stock/383220"", ""A383220"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A383220&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""F&F"")",2,73700,1.38,6.58,121997,83785,70346,65.53,13.68,-4.55,26.41,True,2,10404.0,12759.0,22.6,"[11096.0, 9408.0, 10404.0, 12759.0]","[-15.2, 10.6, 22.6]",4.764420841997374,138.0,"[95.7, -3.8, -15.2, 10.6, 138.0]",33.259680228602996,28232.0,122773,"[12905.0, 15622.0, 18787.0, 22661.0]",62.82,"[38.43, 25.27, 23.16, 23.58]","[8.04, 5.77, 6.58, 5.78]",19340.0,4686.0,825501.0,3.94,True
A009970,영원무역홀딩스,"=HYPERLINK(""https://stock.naver.com/domestic/stock/009970"", ""A009970"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A009970&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""영원무역홀딩스"")",3,186000,0.0,7.06,342197,305214,292207,83.98,64.09,57.1,13.62,True,0,27133.0,,,"[27262.0, 24492.0, 27133.0, nan]","[-10.2, 10.8, nan]",0.0,40.4,"[99.7, -15.7, -10.2, 10.8, 40.4]",18.65273923852675,25109.0,15850,"[23555.0, 27149.0, 30152.0, nan]",46.75,"[16.88, 13.17, 12.83, nan]","[2.86, 3.4, 7.06, nan]",48950.0,7355.0,1894339.0,3.43,True
A007340,DN오토모티브,"=HYPERLINK(""https://stock.naver.com/domestic/stock/007340"", ""A007340"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A007340&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""DN오토모티브"")",3,41250,-1.58,5.07,66663,51839,46625,61.61,25.67,13.03,18.65,True,1,4809.0,4985.0,3.7,"[5499.0, 5383.0, 4809.0, 4985.0]","[-2.1, -10.7, 3.7]",-3.2158361587209416,14.0,"[123.8, 51.9, -2.1, -10.7, 14.0]",27.64134493043462,24136.0,172858,"[11393.0, 17416.0, 20073.0, 22766.0]",52.16,"[27.29, 19.78, 15.02, 13.62]","[2.66, 3.41, 5.07, 8.27]",36757.0,5279.0,6748595.0,4.1,True
A439260,대한조선,"=HYPERLINK(""https://stock.naver.com/domestic/stock/439260"", ""A439260"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A439260&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""대한조선"")",2,60000,0.3,9.16,102249,63136,49380,70.42,5.23,-17.7,38.68,True,3,7314.0,8010.0,9.5,"[3640.0, 5656.0, 7314.0, 8010.0]","[55.4, 29.3, 9.5]",30.063235310697813,1.3,"[nan, nan, 55.4, 29.3, 1.3]",0.0,22853.0,67950,"[1715.0, 4534.0, 10924.0, 13644.0]",48.18,"[25.0, 55.26, 32.19, 24.94]","[nan, nan, 9.16, 7.49]",12281.0,2941.0,,0.37,True
A030000,제일기획,"=HYPERLINK(""https://stock.naver.com/domestic/stock/030000"", ""A030000"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A030000&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""제일기획"")",1,18290,1.23,11.64,20587,17896,16949,12.56,-2.16,-7.33,14.39,True,1,1804.0,1952.0,8.2,"[1628.0, 1804.0, 1804.0, 1952.0]","[10.8, 0.0, 8.2]",9.49228283308372,-0.3,"[17.1, -3.3, 10.8, 0.0, -0.3]",5.755891830751025,21041.0,675813,"[12866.0, 14580.0, 15723.0, 16153.0]",28.36,"[14.99, 15.12, 13.7, 14.09]","[11.69, 9.4, 11.64, 9.37]",45469.0,3369.0,13762500.0,5.86,True
A005440,현대지에프홀딩스,"=HYPERLINK(""https://stock.naver.com/domestic/stock/005440"", ""A005440"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A005440&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""현대지에프홀딩스"")",3,12640,-0.07,3.15,52140,38366,33522,312.5,203.53,165.21,21.56,True,0,2643.0,1987.0,-24.8,"[11200.0, 4483.0, 2643.0, 1987.0]","[-60.0, -41.0, -24.8]",-43.803412018040454,-47.4,"[35.3, 1760.9, -60.0, -41.1, -47.4]",25.55568232876848,19706.0,193175,"[27025.0, 33698.0, 40001.0, 42700.0]",77.15,"[49.81, 23.02, 11.18, 7.49]","[0.32, 1.09, 3.15, 6.36]",80916.0,2741.0,3420585.0,3.61,True
A462870,시프트업,"=HYPERLINK(""https://stock.naver.com/domestic/stock/462870"", ""A462870"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A462870&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""시프트업"")",2,30550,4.11,10.89,56574,35013,27431,85.18,14.61,-10.21,38.31,True,0,3261.0,2305.0,-29.3,"[2132.0, 2718.0, 3261.0, 2305.0]","[27.5, 20.0, -29.3]",2.6526774852607904,39.4,"[nan, nan, 27.5, 20.0, 39.4]",0.0,17919.0,81598,"[1811.0, 7644.0, 9212.0, 10593.0]",42.46,"[99.16, 31.3, 22.71, 13.67]","[nan, 23.33, 10.89, 13.25]",2945.0,1814.0,1152955.0,,True
A041510,에스엠,"=HYPERLINK(""https://stock.naver.com/domestic/stock/041510"", ""A041510"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A041510&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""에스엠"")",1,74400,0.5,8.93,95878,68186,58447,28.87,-8.35,-21.44,23.75,True,0,15126.0,5998.0,-60.3,"[3664.0, 778.0, 15126.0, 5998.0]","[-78.8, 1844.2, -60.3]",17.839014598345937,-86.8,"[-40.7, 9.0, -78.8, 1843.8, -86.8]",-18.864949231948746,17034.0,87601,"[7225.0, 6648.0, 10026.0, 10988.0]",41.75,"[12.3, 2.64, 41.65, 13.07]","[25.14, 97.15, 8.93, 12.4]",11749.0,1830.0,,1.2,True
A023590,다우기술,"=HYPERLINK(""https://stock.naver.com/domestic/stock/023590"", ""A023590"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A023590&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""다우기술"")",3,39100,0.0,3.45,102467,90453,86227,162.07,131.34,120.53,13.92,True,0,11260.0,,,"[5037.0, 7931.0, 11260.0, nan]","[57.5, 42.0, nan]",0.0,106.2,"[-0.9, -39.4, 57.5, 42.0, 106.2]",22.59726125326411,16925.0,46517,"[25189.0, 28873.0, 34464.0, nan]",49.02,"[9.35, 13.16, 15.95, nan]","[3.55, 2.25, 3.45, nan]",174950.0,15593.0,136463.0,4.63,True
A192080,더블유게임즈,"=HYPERLINK(""https://stock.naver.com/domestic/stock/192080"", ""A192080"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A192080&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""더블유게임즈"")",2,71100,0.89,8.78,84255,71866,67508,18.5,1.08,-5.05,15.0,True,1,6106.0,9166.0,50.1,"[6915.0, 8708.0, 6106.0, 9166.0]","[25.9, -29.9, 50.1]",9.826753704899982,67.4,"[nan, nan, 25.9, -29.9, 67.4]",0.0,15054.0,142046,"[8716.0, 11314.0, 11859.0, 13542.0]",44.98,"[18.62, 18.69, 11.33, 15.29]","[5.82, 6.19, 8.78, 7.76]",7199.0,2321.0,1717003.0,2.24,True
A073240,금호타이어,"=HYPERLINK(""https://stock.naver.com/domestic/stock/073240"", ""A073240"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A073240&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""금호타이어"")",3,4650,0.14,4.85,12190,9465,8507,162.15,103.55,82.94,18.72,False,3,1209.0,1370.0,13.3,"[549.0, 1131.0, 1209.0, 1370.0]","[106.0, 6.9, 13.3]",35.63078597499298,-1.5,"[nan, nan, 105.9, 6.9, -1.5]",0.0,13358.0,896020,"[12644.0, 17206.0, 20294.0, 24333.0]",60.49,"[13.2, 21.77, 18.53, 17.64]","[9.81, 4.22, 4.85, 3.39]",47013.0,5759.0,,,True
A003090,대웅,"=HYPERLINK(""https://stock.naver.com/domestic/stock/003090"", ""A003090"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A003090&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""대웅"")",3,17850,0.0,7.32,33827,30926,29906,89.51,73.26,67.54,12.94,True,0,3011.0,,,"[2626.0, 996.0, 3011.0, nan]","[-62.1, 202.3, nan]",0.0,34.8,"[30.3, 48.9, -62.1, 202.4, 34.8]",24.551797771455377,10378.0,61674,"[9348.0, 9965.0, 11766.0, nan]",38.04,"[17.31, 5.99, 16.11, nan]","[7.86, 21.7, 7.32, nan]",20684.0,2618.0,16669850.0,0.91,True
A185750,종근당,"=HYPERLINK(""https://stock.naver.com/domestic/stock/185750"", ""A185750"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A185750&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""종근당"")",3,74400,-0.44,14.76,93141,84125,80955,25.19,13.07,8.81,13.27,True,0,5615.0,4564.0,-18.7,"[15397.0, 7902.0, 5615.0, 4564.0]","[-48.7, -28.9, -18.7]",-33.31535597877047,8.8,"[89.5, 162.5, -48.7, -28.9, 8.8]",14.569990386070764,10269.0,27982,"[8157.0, 8940.0, 10038.0, nan]",40.15,"[29.56, 12.76, 8.17, 6.28]","[8.12, 11.26, 14.76, 16.3]",16924.0,806.0,626712.0,0.6,True
A009450,경동나비엔,"=HYPERLINK(""https://stock.naver.com/domestic/stock/009450"", ""A009450"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A009450&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""경동나비엔"")",1,67700,0.33,9.01,74250,63118,59203,9.68,-6.77,-12.55,15.11,True,1,6157.0,11851.0,92.5,"[5707.0, 8535.0, 6157.0, 11851.0]","[49.6, -27.9, 92.5]",27.57508431472868,52.2,"[-36.9, 55.2, 49.5, -27.9, 52.2]",9.946760367496378,9863.0,39390,"[5846.0, 6954.0, 7705.0, 9318.0]",57.61,"[15.09, 19.43, 12.24, 20.28]","[8.27, 10.29, 9.01, 5.71]",15022.0,1434.0,115660.0,1.35,True
