code,name,naverlink,fnlink,est_level,price,pegr,cur_per,est_price,est_price1,est_price2,disparity,disparity1,disparity2,rep_roe,is_cheap_comp_per,eps_level,eps,eps_expect,eps_expect_this_year_ratio,eps_list,eps증가율,eps증가율기하평균,EPS최근증가율,EPS증가율_ORG,EPS증가율_AVG,market_cap,trading_cnt,지배주주자본,최대주주지분율,ROE,PER,매출액,영업이익,자기주식수,배당수익률,True
A268280,미원에스씨,"=HYPERLINK(""https://stock.naver.com/domestic/stock/268280"", ""A268280"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A268280&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""미원에스씨"")",3,96300,0.0,11.44,109520,100793,97739,13.73,4.67,1.49,12.66,False,0,12261.0,,,"[3681.0, 10913.0, 12261.0, nan]","[196.5, 12.4, nan]",0.0,31.2,"[-18.9, -71.0, 196.5, 12.3, 31.2]",0.5429047728179759,4815.0,2247,"[3731.0, 4063.0, 4485.0, nan]",73.54,"[4.95, 14.0, 14.34, nan]","[37.33, 13.71, 11.44, nan]",5321.0,655.0,185569.0,2.28,True
A212560,네오오토,"=HYPERLINK(""https://stock.naver.com/domestic/stock/212560"", ""A212560"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A212560&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""네오오토"")",3,10210,0.0,7.02,13764,12636,12241,34.81,23.76,19.9,12.72,True,0,1260.0,,,"[1009.0, 1500.0, 1260.0, nan]","[48.7, -16.0, nan]",0.0,17.5,"[19.5, 51.9, 48.6, -16.0, 17.5]",21.633254802330026,1206.0,297433,"[1078.0, 1241.0, 1376.0, nan]",51.18,"[11.65, 15.28, 11.38, nan]","[6.22, 3.49, 7.02, nan]",2321.0,137.0,406.0,2.26,True
A317450,명인제약,"=HYPERLINK(""https://stock.naver.com/domestic/stock/317450"", ""A317450"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A317450&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""명인제약"")",3,41500,0.0,10.26,68060,60781,58233,64.0,46.46,40.32,13.47,True,0,6718.0,,,"[6653.0, 6131.0, 6718.0, nan]","[-7.8, 9.6, nan]",0.0,-6.4,"[-3.9, 29.7, -7.8, 9.6, -6.4]",3.3465867204580446,6059.0,29431,"[4723.0, 5318.0, 7944.0, nan]",73.47,"[16.63, 13.68, 12.28, nan]","[nan, nan, 10.26, nan]",2873.0,925.0,,2.18,True
A066620,국보디자인,"=HYPERLINK(""https://stock.naver.com/domestic/stock/066620"", ""A066620"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A066620&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""국보디자인"")",3,23850,0.0,4.42,65319,56012,52754,173.87,134.85,121.19,14.7,True,0,5293.0,,,"[3685.0, 5430.0, 5293.0, nan]","[47.4, -2.5, nan]",0.0,78.1,"[6.8, 32.4, 47.4, -2.5, 78.1]",29.337675470450876,1789.0,12911,"[2105.0, 2798.0, 3239.0, nan]",53.11,"[15.51, 16.61, 13.15, nan]","[3.87, 3.32, 4.42, nan]",4389.0,458.0,733339.0,2.14,True
A136490,선진,"=HYPERLINK(""https://stock.naver.com/domestic/stock/136490"", ""A136490"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A136490&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""선진"")",3,9040,0.0,1.94,27939,25668,24873,209.05,183.93,175.14,12.71,True,0,5002.0,,,"[585.0, 230.0, 5002.0, nan]","[-60.7, 2074.8, nan]",0.0,-14.2,"[-27.5, -40.0, -60.7, 2073.0, -14.2]",26.091486390025985,2150.0,208067,"[4301.0, 4493.0, 5631.0, nan]",50.06,"[3.26, 1.24, 23.5, nan]","[11.31, 24.5, 1.94, nan]",18957.0,1792.0,396.0,2.06,True
A010690,화신,"=HYPERLINK(""https://stock.naver.com/domestic/stock/010690"", ""A010690"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A010690&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""화신"")",3,11490,0.99,4.35,19920,18066,17417,73.37,57.23,51.59,13.05,True,2,1910.0,2520.0,31.9,"[2213.0, 1534.0, 1910.0, 2520.0]","[-30.7, 24.5, 31.9]",4.403676875390561,-2.8,"[204.4, 4.1, -30.7, 24.5, -2.8]",21.588596583096887,4012.0,4955132,"[4451.0, 5175.0, 5714.0, 6520.0]",50.41,"[19.27, 11.13, 12.25, 14.39]","[6.18, 4.45, 4.35, 4.56]",19625.0,1024.0,171969.0,2.05,True
A200880,서연이화,"=HYPERLINK(""https://stock.naver.com/domestic/stock/200880"", ""A200880"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A200880&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""서연이화"")",3,11500,0.0,5.86,43778,43549,43469,280.68,278.69,277.99,10.88,True,0,2220.0,,,"[5837.0, 5450.0, 2220.0, nan]","[-6.6, -59.3, nan]",0.0,188.2,"[111.8, 183.4, -6.6, -59.3, 188.2]",45.74451277669227,3108.0,105858,"[8816.0, 10998.0, 11714.0, nan]",57.06,"[19.68, 14.87, 5.28, nan]","[3.29, 2.16, 5.86, nan]",45053.0,1618.0,5686.0,1.92,True
A465480,인스피언,"=HYPERLINK(""https://stock.naver.com/domestic/stock/465480"", ""A465480"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A465480&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""인스피언"")",3,4325,0.0,20.04,6239,6022,5947,44.25,39.25,37.5,11.52,True,0,264.0,,,"[668.0, 507.0, 264.0, nan]","[-24.1, -47.9, nan]",0.0,-7.3,"[nan, 81.5, -24.2, -39.3, -7.3]",0.0,438.0,30989,"[189.0, 527.0, 560.0, nan]",72.66,"[30.83, 11.76, 4.92, nan]","[nan, 15.0, 20.04, nan]",200.0,26.0,537733.0,1.89,True
A031440,신세계푸드,"=HYPERLINK(""https://stock.naver.com/domestic/stock/031440"", ""A031440"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A031440&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""신세계푸드"")",3,40650,0.0,2.4,126336,111753,106649,210.79,174.92,162.36,13.74,True,0,19939.0,,,"[2749.0, 2892.0, 19939.0, nan]","[5.2, 589.5, nan]",0.0,-23.3,"[nan, nan, 5.2, 589.5, -23.3]",0.0,1574.0,12783,"[2899.0, 2935.0, 3579.0, nan]",66.46,"[3.66, 3.84, 23.71, nan]","[14.35, 12.45, 2.4, nan]",12332.0,48.0,257029.0,1.88,True
A336680,탑런토탈솔루션,"=HYPERLINK(""https://stock.naver.com/domestic/stock/336680"", ""A336680"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A336680&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""탑런토탈솔루션"")",3,2975,0.0,23.91,4897,4769,4724,64.6,60.3,58.8,11.33,False,0,169.0,,,"[781.0, 569.0, 169.0, nan]","[-27.1, -70.3, nan]",0.0,,"[nan, 526.6, -27.1, -70.3, nan]",0.0,1165.0,37100,"[921.0, 1815.0, 1823.0, nan]",74.13,"[27.95, 14.54, 3.64, nan]","[nan, 8.65, 23.91, nan]",5501.0,89.0,,1.85,True
